수집일,출처,별점,원문
2026-06-04,자사몰 리뷰,5,3주째 쓰는데 코 옆 모공이 진짜 덜 보여요. 21일 챌린지 덕에 습관도 잡혔어요
2026-06-04,자사몰 리뷰,4,순하고 좋은데 펌프가 한 번에 너무 많이 나와요. 양 조절이 어렵네요
2026-06-04,올리브영,5,저자극이라더니 진짜 따갑지 않아요. 민감성인데 매일 써도 트러블 없음
2026-06-04,자사몰 리뷰,2,배송이 일주일 걸렸어요. 제품은 좋은데 배송 때문에 재구매 망설여져요
2026-06-05,인스타 멘션,5,#21일모공챌린지 14일차. 화장 들뜸이 확실히 줄었어요 결로아 최고
2026-06-05,자사몰 리뷰,3,효과는 있는 것 같은데 향이 저한테는 좀 강해요. 무향이면 좋겠어요
2026-06-05,올리브영,4,패드형이면 더 편할 것 같아요. 액체형은 출장 갈 때 흘릴까 불안
2026-06-05,CS메일,1,주문 취소했는데 환불이 5일째 안 들어와요. 확인 부탁드립니다
2026-06-05,자사몰 리뷰,5,두 통째 재구매. 유분기가 오후까지 안 올라오는 건 처음이에요
2026-06-06,X,4,결로아 토너 써본 사람? 생각보다 괜찮아서 놀람. 끈적임 없는 게 제일 좋다
2026-06-06,자사몰 리뷰,2,용기 입구가 좁아서 화장솜에 적시기 불편해요. 디자인 개선 부탁해요
2026-06-06,올리브영,5,니아신아마이드 들어간 토너 중에 제일 순해요. 각질도 부드러워짐
2026-06-06,CS메일,2,챌린지 인증했는데 쿠폰이 안 와요. 이벤트 안내가 불친절합니다
2026-06-06,자사몰 리뷰,4,좋아요. 근데 가격이 조금 부담. 세일 때 쟁여두려고요
2026-06-07,인스타 멘션,5,피부과 가기 전에 이거 먼저 써보세요. 모공 블랙헤드 관리 입문템
2026-06-07,자사몰 리뷰,3,2주 썼는데 아직 잘 모르겠어요. 21일은 채워보고 판단할게요
2026-06-07,올리브영,1,뚜껑이 깨져서 왔어요. 교환 절차도 복잡하고 별로예요
2026-06-07,X,3,향은 호불호 갈릴 듯. 효과는 있는데 향 민감한 사람은 테스터 먼저
2026-06-07,자사몰 리뷰,5,임산부라 성분 따지는데 전성분 공개해줘서 신뢰가 가요
2026-06-08,자사몰 리뷰,4,남자친구랑 같이 써요. 남자 피부에도 잘 맞네요
2026-06-08,CS메일,2,구독 배송 주기 변경이 앱에서 안 돼요. 전화도 연결이 어렵고요
2026-06-08,올리브영,5,여드름 자국 있는 피부인데 자극 없이 결 정리돼요. 추천
2026-06-08,인스타 멘션,4,챌린지 리그램 이벤트 또 해주세요! 지난번에 놓쳤어요
2026-06-08,자사몰 리뷰,2,펌프 불량인지 반쯤 쓰니까 안 나와요. 교환 가능한가요
2026-06-09,자사몰 리뷰,5,토너 패드 버전도 나왔으면. 본품은 정말 만족합니다
2026-06-09,X,5,요즘 아침 루틴: 결로아 토너 → 수분크림 끝. 단순해졌는데 피부는 더 좋아짐
2026-06-09,올리브영,3,보통이에요. 드라마틱한 변화는 없지만 순한 건 인정
2026-06-09,CS메일,1,배송지 변경 요청했는데 이전 주소로 발송됐어요. 책임 처리 바랍니다
2026-06-09,자사몰 리뷰,4,여름엔 냉장고에 넣어 쓰니 진정 효과가 배가 돼요. 꿀조합
2026-06-09,인스타 멘션,5,21일 챌린지 완주! 인증 캘린더 너무 잘 만들었어요. 뿌듯함이 커요
2026-06-10,자사몰 리뷰,2,리필 제품이 없어서 아쉬워요. 환경 생각하면 리필 출시해주세요
2026-06-10,올리브영,4,세일 때 샀는데 만족. 정가는 살짝 부담스러운 가격대
2026-06-10,자사몰 리뷰,5,트러블 올라올 때 이걸로 닦아주면 다음날 가라앉아요. 세 번째 구매
2026-06-10,X,2,광고 보고 샀는데 광고만큼은 아님. 그냥 무난한 토너
2026-06-10,CS메일,3,성분 중 PHA 함량이 궁금합니다. 상세페이지에 표기 부탁드려요
2026-06-10,자사몰 리뷰,4,포장이 꼼꼼해요. 근데 박스가 너무 커서 과대포장 느낌도
2026-06-10,인스타 멘션,5,모공 고민 동생한테 선물했는데 인생템이라고 난리예요
2026-06-10,올리브영,5,재구매 3번째. 올영세일마다 쟁입니다. 유분 많은 분들 강추
2026-06-10,자사몰 리뷰,3,챌린지 앱 연동이 가끔 끊겨요. 인증 사진이 날아가서 속상
2026-06-10,CS메일,2,적립금 사용이 결제 화면에서 안 보여요. UI 개선 필요합니다
